district,four_room,image,multiroom,name,one_room,room_types,studio,three_room,two_room
Мытищинский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5e02231dc2f76.jpg,-1,ЖК «Императорские Мытищи»,5407000,"studio,one_room,two_room,three_room",3861000,10688000,6270000
Щукино,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6360cc1718715.jpg,-1,МФК «Волоколамское 24»,9129000,"studio,one_room,two_room,three_room",6806000,15940000,10937000
Свиблово,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/635fccc1595b2.jpg,-1,"ЖК «Кольская, 8»",9051000,"studio,one_room,two_room,three_room",6220000,13296000,8964000
Головинский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/63592ee955958.jpg,-1,ЖК «Кронштадтский 14»,10581000,"studio,one_room,two_room,three_room",7570000,19288000,14441000
Отрадное,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/635a89234caf6.jpg,-1,ЖК «Сигнальный 16»,8220000,"studio,one_room,two_room,three_room",5830000,15056000,8632000
Покровское-Стрешнево,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5e3169f592075.jpg,-1,ЖК «Holland park»,10309000,"studio,one_room,two_room,three_room",7285000,15171000,12033000
Кузьминки,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6357f33aee853.jpg,-1,ЖК «Михайловский парк»,9350000,"studio,one_room,two_room,three_room",6405000,16417000,13042000
Кунцево,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6356917fdd596.jpg,-1,ЖК «Академика Павлова»,13069000,"studio,one_room,two_room,three_room",9069000,20142000,16428000
Московский,14422000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5f313a3a9de5a.jpg,34824000,ЖК «Прокшино»,9975000,"studio,one_room,two_room,three_room,four_room,multiroom",7134000,12774000,10272000
Нижегородский,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/635be0d57847f.jpg,-1,ЖК «Волжский парк»,8036000,"studio,one_room,two_room,three_room",5890000,12813000,8138000
Сокольники,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/62a067b58451a.jpg,-1,Апарт-отель «Берег Яузы»,-1,studio,7182000,-1,-1
Останкинский,22264000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6356a14a9ae2a.jpg,28087000,ЖК «Руставели 14»,11502000,"studio,one_room,two_room,three_room,four_room,multiroom",7327000,16735000,12207000
Очаково-Матвеевское,17681000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/635924b6d9f5d.jpg,-1,ЖК «Матвеевский парк»,9475000,"studio,one_room,two_room,three_room,four_room",6668000,15031000,10891000
Западное Дегунино,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5d5e5b5174955.jpg,-1,ЖК «Селигер Сити»,15945000,"studio,one_room,two_room,three_room",12882000,33589000,18707000
Мытищинский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6053252a19c0f.jpg,-1,ЖК «Кит»,6902000,"one_room,two_room,three_room",-1,17500000,11232000
Гольяново,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/60adfff36a496.jpg,-1,Апарт-отель «Измайловский парк»,-1,"studio,two_room,three_room",5973500,16840700,10614300
Королёв,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6274fb947e873.jpg,-1,ЖК «Дом-Мегалит в Королёве»,7847800,"one_room,two_room,three_room",-1,13161000,11524500
